,Componente,Unidades,Valor por 100 g,Cod,Produto
26,Vitamina C,mg,192,C0077C,
0,Energia,kJ,171,C0078C,
1,Energia,kcal,41,C0078C,
2,Umidade,g,892,C0078C,
3,Carboidrato total,g,979,C0078C,
4,Carboidrato disponível,g,86,C0078C,
5,Proteína,g,57,C0078C,
6,Lipídios,g,14,C0078C,
7,Fibra alimentar,g,119,C0078C,
8,Álcool,g,0,C0078C,
9,Cinzas,g,35,C0078C,
10,Colesterol,mg,0,C0078C,
11,Cálcio,mg,598,C0078C,
12,Ferro,mg,11,C0078C,
13,Sódio,mg,305,C0078C,
14,Magnésio,mg,976,C0078C,
15,Fósforo,mg,166,C0078C,
16,Potássio,mg,170,C0078C,
17,Manganês,mcg,6,C0078C,
18,Zinco,mg,6,C0078C,
19,Cobre,mg,7,C0078C,
20,Vitamina D,mcg,0,C0078C,
21,Riboflavina,mg,1,C0078C,
22,Vitamina B12,mg,0,C0078C,
23,Vitamina C,mg,105,C0078C,
0,Energia,kJ,254,C0079C,
1,Energia,kcal,61,C0079C,
2,Umidade,g,837,C0079C,
3,Carboidrato total,g,153,C0079C,
4,Carboidrato disponível,g,13,C0079C,
5,Proteína,g,62,C0079C,
6,Lipídios,g,13,C0079C,
7,Fibra alimentar,g,23,C0079C,
8,Álcool,g,0,C0079C,
9,Cinzas,g,36,C0079C,
10,Colesterol,mg,0,C0079C,
11,Cálcio,mg,835,C0079C,
12,Ferro,mg,1,C0079C,
13,Magnésio,mg,178,C0079C,
14,Fósforo,mg,146,C0079C,
15,Potássio,mg,130,C0079C,
16,Manganês,mcg,3,C0079C,
17,Zinco,mg,29,C0079C,
18,Cobre,mg,8,C0079C,
19,Vitamina D,mcg,0,C0079C,
20,Tiamina,mg,6,C0079C,
21,Vitamina B12,mg,0,C0079C,
22,Vitamina C,mg,162,C0079C,
0,Energia,kJ,83,C0080C,
1,Energia,kcal,20,C0080C,
2,Umidade,g,922,C0080C,
3,Carboidrato total,g,65,C0080C,
4,Carboidrato disponível,g,142,C0080C,
5,Proteína,g,89,C0080C,
6,Lipídios,g,7,C0080C,
7,Fibra alimentar,g,508,C0080C,
8,Álcool,g,0,C0080C,
9,Cinzas,g,46,C0080C,
10,Colesterol,mg,0,C0080C,
11,Cálcio,mg,138,C0080C,
12,Ferro,mg,14,C0080C,
13,Sódio,mg,217,C0080C,
14,Magnésio,mg,142,C0080C,
15,Fósforo,mg,184,C0080C,
16,Potássio,mg,135,C0080C,
17,Manganês,mcg,6,C0080C,
18,Zinco,mg,12,C0080C,
19,Cobre,mg,3,C0080C,
20,Vitamina D,mcg,0,C0080C,
21,Tiamina,mg,8,C0080C,
22,Niacina,mg,118,C0080C,
23,Vitamina B12,mg,0,C0080C,
24,Vitamina C,mg,378,C0080C,
0,Energia,kJ,1656,C0081C,
1,Energia,kcal,404,C0081C,
2,Umidade,g,416,C0081C,
3,Carboidrato total,g,14,C0081C,
4,Carboidrato disponível,g,51,C0081C,
5,Proteína,g,209,C0081C,
6,Lipídios,g,407,C0081C,
7,Fibra alimentar,g,135,C0081C,
8,Álcool,g,0,C0081C,
9,Cinzas,g,179,C0081C,
10,Colesterol,mg,0,C0081C,
11,Ácidos graxos saturados,g,71,C0081C,
12,Ácidos graxos monoinsaturados,g,253,C0081C,
13,Ácidos graxos poliinsaturados,g,65,C0081C,
14,Cálcio,mg,666,C0081C,
15,Ferro,mg,81,C0081C,
16,Sódio,mg,66,C0081C,
17,Magnésio,mg,661,C0081C,
18,Fósforo,mg,439,C0081C,
19,Potássio,mg,306,C0081C,
20,Manganês,mcg,8,C0081C,
21,Zinco,mg,67,C0081C,
22,Cobre,mg,36,C0081C,
23,Vitamina A (RE),mcg,1020,C0081C,
24,Vitamina A (RAE),mcg,510,C0081C,
25,Vitamina D,mcg,0,C0081C,
26,Tiamina,mg,12,C0081C,
27,Riboflavina,mg,12,C0081C,
28,Vitamina B6,mg,3,C0081C,
29,Vitamina B12,mg,0,C0081C,
30,Vitamina C,mg,135,C0081C,
0,Energia,kJ,179,C0082C,
1,Energia,kcal,43,C0082C,
2,Umidade,g,889,C0082C,
3,Carboidrato total,g,96,C0082C,
4,Carboidrato disponível,g,91,C0082C,
5,Proteína,g,82,C0082C,
6,Lipídios,g,18,C0082C,
7,Fibra alimentar,g,51,C0082C,
8,Álcool,g,0,C0082C,
9,Cinzas,g,52,C0082C,
10,Colesterol,mg,0,C0082C,
11,Ácidos graxos saturados,g,2,C0082C,
12,Ácidos graxos monoinsaturados,g,3,C0082C,
13,Ácidos graxos poliinsaturados,g,8,C0082C,
14,Cálcio,mg,461,C0082C,
15,Ferro,mg,3,C0082C,
16,Sódio,mg,81,C0082C,
17,Magnésio,mg,971,C0082C,
18,Fósforo,mg,153,C0082C,
19,Potássio,mg,228,C0082C,
20,Manganês,mcg,7,C0082C,
21,Zinco,mg,19,C0082C,
22,Cobre,mg,6,C0082C,
23,Selênio,mcg,52,C0082C,
24,Vitamina A (RE),mcg,109,C0082C,
25,Vitamina A (RAE),mcg,543,C0082C,
26,Vitamina D,mcg,0,C0082C,
27,Alfa-tocoferol (Vitamina E),mcg,6,C0082C,
28,Riboflavina,mg,1,C0082C,
29,Vitamina B6,mg,6,C0082C,
30,Vitamina B12,mg,0,C0082C,
31,Vitamina C,mg,726,C0082C,
32,Equivalente de folato,mcg,921,C0082C,
0,Energia,kJ,181,C0083C,
1,Energia,kcal,43,C0083C,
2,Umidade,g,89,C0083C,
3,Carboidrato total,g,964,C0083C,
4,Carboidrato disponível,g,929,C0083C,
5,Proteína,g,77,C0083C,
6,Lipídios,g,2,C0083C,
7,Fibra alimentar,g,36,C0083C,
8,Álcool,g,0,C0083C,
9,Cinzas,g,47,C0083C,
10,Colesterol,mg,0,C0083C,
11,Ácidos graxos saturados,g,3,C0083C,
12,Ácidos graxos monoinsaturados,g,3,C0083C,
13,Ácidos graxos poliinsaturados,g,9,C0083C,
14,Cálcio,mg,416,C0083C,
15,Ferro,mg,35,C0083C,
16,Sódio,mg,217,C0083C,
17,Magnésio,mg,416,C0083C,
18,Fósforo,mg,14,C0083C,
19,Potássio,mg,201,C0083C,
20,Manganês,mcg,8,C0083C,
21,Zinco,mg,14,C0083C,
22,Cobre,mg,6,C0083C,
23,Selênio,mcg,52,C0083C,
24,Vitamina A (RE),mcg,109,C0083C,
25,Vitamina A (RAE),mcg,543,C0083C,
26,Vitamina D,mcg,0,C0083C,
27,Alfa-tocoferol (Vitamina E),mcg,6,C0083C,
28,Riboflavina,mg,8,C0083C,
29,Niacina,mg,192,C0083C,
30,Vitamina B6,mg,5,C0083C,
31,Vitamina B12,mg,0,C0083C,
32,Vitamina C,mg,137,C0083C,
33,Equivalente de folato,mcg,921,C0083C,
0,Energia,kJ,389,C0084C,
1,Energia,kcal,92,C0084C,
2,Umidade,g,751,C0084C,
3,Carboidrato total,g,225,C0084C,
4,Carboidrato disponível,g,191,C0084C,
5,Proteína,g,149,C0084C,
6,Lipídios,g,32,C0084C,
7,Fibra alimentar,g,336,C0084C,
8,Álcool,g,0,C0084C,
9,Cinzas,g,7,C0084C,
10,Colesterol,mg,0,C0084C,
11,Ácidos graxos saturados,g,1,C0084C,
12,Ácidos graxos poliinsaturados,g,1,C0084C,
13,Cálcio,mg,209,C0084C,
14,Ferro,mg,22,C0084C,
15,Sódio,mg,134,C0084C,
16,Magnésio,mg,306,C0084C,
17,Fósforo,mg,344,C0084C,
18,Potássio,mg,284,C0084C,
19,Manganês,mcg,15,C0084C,
20,Zinco,mg,25,C0084C,
21,Cobre,mg,11,C0084C,
22,Vitamina D,mcg,0,C0084C,
23,Tiamina,mg,12,C0084C,
24,Riboflavina,mg,5,C0084C,
25,Vitamina B6,mg,9,C0084C,
26,Vitamina B12,mg,0,C0084C,
27,Vitamina C,mg,36,C0084C,
0,Energia,kJ,84,C0085C,
1,Energia,kcal,20,C0085C,
2,Umidade,g,946,C0085C,
3,Carboidrato total,g,476,C0085C,
4,Carboidrato disponível,g,403,C0085C,
5,Proteína,g,29,C0085C,
6,Lipídios,g,13,C0085C,
7,Fibra alimentar,g,74,C0085C,
8,Álcool,g,0,C0085C,
9,Cinzas,g,27,C0085C,
10,Colesterol,mg,0,C0085C,
11,Cálcio,mg,78,C0085C,
12,Ferro,mg,38,C0085C,
13,Sódio,mg,503,C0085C,
14,Magnésio,mg,621,C0085C,
15,Fósforo,mg,123,C0085C,
16,Potássio,mg,874,C0085C,
17,Manganês,mcg,6,C0085C,
18,Zinco,mg,9,C0085C,
19,Cobre,mg,6,C0085C,
20,Vitamina A (RE),mcg,146,C0085C,
21,Vitamina A (RAE),mcg,728,C0085C,
22,Vitamina D,mcg,0,C0085C,
23,Vitamina B12,mg,0,C0085C,
0,Energia,kJ,260,C0086C,
1,Energia,kcal,62,C0086C,
2,Umidade,g,84,C0086C,
3,Carboidrato total,g,156,C0086C,
4,Carboidrato disponível,g,147,C0086C,
5,Proteína,g,41,C0086C,
6,Fibra alimentar,g,44,C0086C,
7,Álcool,g,0,C0086C,
8,Cinzas,g,51,C0086C,
9,Colesterol,mg,0,C0086C,
10,Cálcio,mg,476,C0086C,
11,Ferro,mg,26,C0086C,
12,Sódio,mg,6,C0086C,
13,Magnésio,mg,128,C0086C,
14,Fósforo,mg,403,C0086C,
15,Potássio,mg,485,C0086C,
16,Manganês,mcg,14,C0086C,
17,Zinco,mg,67,C0086C,
18,Cobre,mg,19,C0086C,
19,Vitamina D,mcg,0,C0086C,
20,Tiamina,mg,12,C0086C,
21,Riboflavina,mg,17,C0086C,
22,Vitamina B6,mg,5,C0086C,
23,Vitamina B12,mg,0,C0086C,
24,Vitamina C,mg,813,C0086C,
0,Energia,kJ,1247,C0087C,
1,Energia,kcal,295,C0087C,
2,Umidade,g,22,C0087C,
3,Carboidrato total,g,726,C0087C,
4,Carboidrato disponível,g,661,C0087C,
5,Proteína,g,321,C0087C,
6,Lipídios,g,46,C0087C,
7,Fibra alimentar,g,645,C0087C,
8,Álcool,g,0,C0087C,
9,Cinzas,g,186,C0087C,
10,Colesterol,mg,0,C0087C,
11,Ácidos graxos saturados,g,1,C0087C,
12,Ácidos graxos monoinsaturados,g,2,C0087C,
13,Cálcio,mg,372,C0087C,
14,Ferro,mg,56,C0087C,
15,Sódio,mg,36,C0087C,
16,Magnésio,mg,592,C0087C,
17,Fósforo,mg,546,C0087C,
18,Potássio,mg,723,C0087C,
19,Manganês,mcg,34,C0087C,
20,Zinco,mg,68,C0087C,
21,Cobre,mg,3,C0087C,
22,Vitamina D,mcg,0,C0087C,
23,Tiamina,mg,31,C0087C,
24,Vitamina B6,mg,11,C0087C,
25,Vitamina B12,mg,0,C0087C,
26,Vitamina C,mg,725,C0087C,
0,Energia,kJ,1078,C0088C,
1,Energia,kcal,261,C0088C,
2,Umidade,g,513,C0088C,
3,Carboidrato total,g,265,C0088C,
4,Carboidrato disponível,g,139,C0088C,
5,Proteína,g,21,C0088C,
6,Lipídios,g,191,C0088C,
7,Fibra alimentar,g,127,C0088C,
8,Álcool,g,0,C0088C,
9,Cinzas,g,11,C0088C,
10,Colesterol,mg,0,C0088C,
11,Ácidos graxos saturados,g,47,C0088C,
12,Ácidos graxos monoinsaturados,g,969,C0088C,
13,Ácidos graxos poliinsaturados,g,89,C0088C,
14,Cálcio,mg,464,C0088C,
15,Ferro,mg,57,C0088C,
16,Sódio,mg,39,C0088C,
17,Magnésio,mg,122,C0088C,
18,Fósforo,mg,526,C0088C,
19,Potássio,mg,402,C0088C,
20,Manganês,mcg,55,C0088C,
21,Zinco,mg,88,C0088C,
22,Cobre,mg,39,C0088C,
23,Vitamina A (RE),mcg,2363,C0088C,
24,Vitamina A (RAE),mcg,1182,C0088C,
25,Vitamina D,mcg,0,C0088C,
26,Tiamina,mg,4,C0088C,
27,Vitamina B6,mg,11,C0088C,
28,Vitamina B12,mg,0,C0088C,
29,Vitamina C,mg,18,C0088C,
0,Energia,kJ,157,C0089C,
1,Energia,kcal,38,C0089C,
2,Umidade,g,893,C0089C,
3,Carboidrato total,g,944,C0089C,
4,Carboidrato disponível,g,746,C0089C,
5,Proteína,g,85,C0089C,
6,Fibra alimentar,g,199,C0089C,
7,Álcool,g,0,C0089C,
8,Cinzas,g,47,C0089C,
9,Colesterol,mg,0,C0089C,
10,Cálcio,mg,116,C0089C,
11,Ferro,mg,1,C0089C,
12,Magnésio,mg,114,C0089C,
13,Fósforo,mg,134,C0089C,
14,Potássio,mg,152,C0089C,
15,Manganês,mcg,4,C0089C,
16,Zinco,mg,43,C0089C,
17,Cobre,mg,5,C0089C,
18,Vitamina D,mcg,0,C0089C,
19,Tiamina,mg,5,C0089C,
20,Riboflavina,mg,6,C0089C,
21,Vitamina B6,mg,3,C0089C,
22,Vitamina B12,mg,0,C0089C,
23,Vitamina C,mg,241,C0089C,
0,Energia,kJ,148,C0090C,
1,Energia,kcal,35,C0090C,
2,Umidade,g,902,C0090C,
3,Carboidrato total,g,886,C0090C,
4,Carboidrato disponível,g,753,C0090C,
5,Proteína,g,52,C0090C,
6,Lipídios,g,8,C0090C,
7,Fibra alimentar,g,134,C0090C,
8,Álcool,g,0,C0090C,
9,Cinzas,g,45,C0090C,
10,Colesterol,mg,0,C0090C,
11,Cálcio,mg,108,C0090C,
12,Ferro,mg,21,C0090C,
13,Sódio,mg,578,C0090C,
14,Magnésio,mg,813,C0090C,
15,Fósforo,mg,127,C0090C,
16,Potássio,mg,154,C0090C,
17,Manganês,mcg,5,C0090C,
18,Zinco,mg,8,C0090C,
19,Cobre,mg,5,C0090C,
20,Vitamina D,mcg,0,C0090C,
21,Riboflavina,mg,7,C0090C,
22,Vitamina B12,mg,0,C0090C,
23,Vitamina C,mg,396,C0090C,
0,Energia,kJ,89,C0174C,
1,Energia,kcal,21,C0174C,
2,Umidade,g,943,C0174C,
3,Carboidrato total,g,529,C0174C,
4,Carboidrato disponível,g,516,C0174C,
5,Proteína,g,0,C0174C,
6,Lipídios,g,1,C0174C,
7,Fibra alimentar,g,14,C0174C,
8,Cinzas,g,47,C0174C,
9,Colesterol,mg,0,C0174C,
10,Ácidos graxos saturados,g,1,C0174C,
11,Ácidos graxos monoinsaturados,g,1,C0174C,
12,Ácidos graxos poliinsaturados,g,1,C0174C,
13,Cálcio,mg,189,C0174C,
14,Sódio,mg,179,C0174C,
15,Magnésio,mg,516,C0174C,
16,Fósforo,mg,376,C0174C,
17,Potássio,mg,162,C0174C,
18,Manganês,mcg,26,C0174C,
19,Vitamina D,mcg,0,C0174C,
20,Alfa-tocoferol (Vitamina E),mcg,0,C0174C,
21,Tiamina,mg,1,C0174C,
22,Vitamina B12,mg,0,C0174C,
23,Vitamina C,mg,241,C0174C,
24,Equivalente de folato,mcg,345,C0174C,
0,Energia,kJ,735,C0175C,
1,Energia,kcal,179,C0175C,
2,Umidade,g,78,C0175C,
3,Carboidrato total,g,22,C0175C,
4,Carboidrato disponível,g,22,C0175C,
5,Proteína,g,102,C0175C,
6,Lipídios,g,184,C0175C,
7,Cinzas,g,45,C0175C,
8,Ácidos graxos saturados,g,156,C0175C,
9,Ácidos graxos monoinsaturados,g,9,C0175C,
10,Ácidos graxos poliinsaturados,g,2,C0175C,
11,Cálcio,mg,586,C0175C,
12,Ferro,mg,46,C0175C,
13,Sódio,mg,443,C0175C,
14,Magnésio,mg,169,C0175C,
15,Fósforo,mg,256,C0175C,
16,Potássio,mg,144,C0175C,
17,Manganês,mcg,24,C0175C,
18,Zinco,mg,32,C0175C,
19,Cobre,mg,16,C0175C,
20,Vitamina D,mcg,0,C0175C,
21,Vitamina B12,mg,0,C0175C,
22,Equivalente de folato,mcg,114,C0175C,
0,Energia,kJ,73,C0109C,
1,Energia,kcal,18,C0109C,
2,Umidade,g,955,C0109C,
3,Carboidrato total,g,399,C0109C,
4,Carboidrato disponível,g,361,C0109C,
5,Proteína,g,24,C0109C,
6,Lipídios,g,12,C0109C,
7,Fibra alimentar,g,39,C0109C,
8,Álcool,g,0,C0109C,
9,Cinzas,g,13,C0109C,
10,Colesterol,mg,0,C0109C,
11,Ácidos graxos saturados,g,1,C0109C,
12,Ácidos graxos monoinsaturados,g,2,C0109C,
13,Ácidos graxos poliinsaturados,g,4,C0109C,
14,Ácidos graxos trans,g,0,C0109C,
15,Cálcio,mg,631,C0109C,
16,Ferro,mg,17,C0109C,
17,Sódio,mg,98,C0109C,
18,Magnésio,mg,571,C0109C,
19,Fósforo,mg,361,C0109C,
20,Potássio,mg,472,C0109C,
21,Manganês,mcg,52,C0109C,
22,Zinco,mg,6,C0109C,
23,Cobre,mg,5,C0109C,
24,Selênio,mcg,14,C0109C,
25,Vitamina A (RE),mcg,69,C0109C,
26,Vitamina A (RAE),mcg,35,C0109C,
27,Vitamina D,mcg,0,C0109C,
28,Alfa-tocoferol (Vitamina E),mcg,2,C0109C,
29,Tiamina,mg,6,C0109C,
30,Riboflavina,mg,1,C0109C,
31,Vitamina B12,mg,0,C0109C,
32,Vitamina C,mg,114,C0109C,
33,Equivalente de folato,mcg,388,C0109C,
0,Energia,kJ,199,C0110C,
1,Energia,kcal,47,C0110C,
2,Umidade,g,88,C0110C,
3,Carboidrato total,g,115,C0110C,
4,Carboidrato disponível,g,111,C0110C,
5,Proteína,g,23,C0110C,
6,Lipídios,g,11,C0110C,
7,Fibra alimentar,g,36,C0110C,
8,Álcool,g,0,C0110C,
9,Cinzas,g,16,C0110C,
10,Colesterol,mg,0,C0110C,
11,Ácidos graxos saturados,g,1,C0110C,
12,Ácidos graxos monoinsaturados,g,2,C0110C,
13,Ácidos graxos poliinsaturados,g,4,C0110C,
14,Ácidos graxos trans,g,0,C0110C,
15,Cálcio,mg,606,C0110C,
16,Ferro,mg,16,C0110C,
17,Sódio,mg,185,C0110C,
18,Magnésio,mg,528,C0110C,
19,Fósforo,mg,331,C0110C,
20,Potássio,mg,438,C0110C,
21,Manganês,mcg,47,C0110C,
22,Zinco,mg,5,C0110C,
23,Cobre,mg,4,C0110C,
24,Selênio,mcg,18,C0110C,
25,Vitamina A (RE),mcg,63,C0110C,
26,Vitamina A (RAE),mcg,32,C0110C,
27,Vitamina D,mcg,0,C0110C,
28,Alfa-tocoferol (Vitamina E),mcg,2,C0110C,
29,Tiamina,mg,6,C0110C,
30,Riboflavina,mg,1,C0110C,
31,Vitamina B12,mg,0,C0110C,
32,Vitamina C,mg,105,C0110C,
33,Equivalente de folato,mcg,356,C0110C,
0,Energia,kJ,149,C0111C,
1,Energia,kcal,36,C0111C,
2,Umidade,g,904,C0111C,
3,Carboidrato total,g,825,C0111C,
4,Carboidrato disponível,g,708,C0111C,
5,Proteína,g,64,C0111C,
6,Lipídios,g,23,C0111C,
7,Fibra alimentar,g,118,C0111C,
8,Álcool,g,0,C0111C,
9,Cinzas,g,44,C0111C,
10,Colesterol,mg,0,C0111C,
11,Ácidos graxos saturados,g,4,C0111C,
12,Ácidos graxos monoinsaturados,g,2,C0111C,
13,Ácidos graxos poliinsaturados,g,8,C0111C,
14,Ácidos graxos trans,g,0,C0111C,
15,Cálcio,mg,933,C0111C,
16,Ferro,mg,31,C0111C,
17,Sódio,mg,634,C0111C,
18,Magnésio,mg,994,C0111C,
19,Fósforo,mg,915,C0111C,
20,Potássio,mg,158,C0111C,
21,Manganês,mcg,66,C0111C,
22,Zinco,mg,11,C0111C,
23,Cobre,mg,8,C0111C,
24,Selênio,mcg,29,C0111C,
25,Vitamina A (RE),mcg,181,C0111C,
26,Vitamina A (RAE),mcg,91,C0111C,
27,Vitamina D,mcg,0,C0111C,
28,Alfa-tocoferol (Vitamina E),mcg,7,C0111C,
29,Tiamina,mg,8,C0111C,
30,Riboflavina,mg,1,C0111C,
31,Vitamina B6,mg,1,C0111C,
32,Vitamina B12,mg,0,C0111C,
33,Vitamina C,mg,182,C0111C,
34,Equivalente de folato,mcg,877,C0111C,
0,Energia,kJ,270,C0112C,
1,Energia,kcal,64,C0112C,
2,Umidade,g,833,C0112C,
3,Carboidrato total,g,154,C0112C,
4,Carboidrato disponível,g,143,C0112C,
5,Proteína,g,61,C0112C,
6,Lipídios,g,21,C0112C,
7,Fibra alimentar,g,108,C0112C,
8,Álcool,g,0,C0112C,
9,Cinzas,g,45,C0112C,
10,Colesterol,mg,0,C0112C,
11,Ácidos graxos saturados,g,3,C0112C,
12,Ácidos graxos monoinsaturados,g,2,C0112C,
13,Ácidos graxos poliinsaturados,g,8,C0112C,
14,Ácidos graxos trans,g,0,C0112C,
15,Cálcio,mg,883,C0112C,
16,Ferro,mg,3,C0112C,
17,Sódio,mg,68,C0112C,
18,Magnésio,mg,918,C0112C,
19,Fósforo,mg,842,C0112C,
20,Potássio,mg,146,C0112C,
21,Manganês,mcg,61,C0112C,
22,Zinco,mg,1,C0112C,
23,Cobre,mg,7,C0112C,
24,Selênio,mcg,32,C0112C,
25,Vitamina A (RE),mcg,167,C0112C,
26,Vitamina A (RAE),mcg,84,C0112C,
27,Vitamina D,mcg,0,C0112C,
28,Alfa-tocoferol (Vitamina E),mcg,6,C0112C,
29,Tiamina,mg,7,C0112C,
30,Riboflavina,mg,1,C0112C,
31,Vitamina B6,mg,1,C0112C,
32,Vitamina B12,mg,0,C0112C,
33,Vitamina C,mg,167,C0112C,
34,Equivalente de folato,mcg,806,C0112C,
0,Energia,kJ,184,C0113C,
1,Energia,kcal,44,C0113C,
2,Umidade,g,887,C0113C,
3,Carboidrato total,g,101,C0113C,
4,Carboidrato disponível,g,931,C0113C,
5,Proteína,g,58,C0113C,
6,Lipídios,g,25,C0113C,
7,Fibra alimentar,g,77,C0113C,
8,Álcool,g,0,C0113C,
9,Cinzas,g,34,C0113C,
10,Colesterol,mg,0,C0113C,
11,Ácidos graxos saturados,g,2,C0113C,
12,Ácidos graxos monoinsaturados,g,3,C0113C,
13,Ácidos graxos poliinsaturados,g,7,C0113C,
14,Ácidos graxos trans,g,0,C0113C,
15,Cálcio,mg,997,C0113C,
16,Ferro,mg,35,C0113C,
17,Sódio,mg,147,C0113C,
18,Magnésio,mg,11,C0113C,
19,Fósforo,mg,103,C0113C,
20,Potássio,mg,132,C0113C,
21,Manganês,mcg,76,C0113C,
22,Zinco,mg,13,C0113C,
23,Cobre,mg,9,C0113C,
24,Selênio,mcg,3,C0113C,
25,Vitamina A (RE),mcg,241,C0113C,
26,Vitamina A (RAE),mcg,121,C0113C,
27,Vitamina D,mcg,0,C0113C,
28,Alfa-tocoferol (Vitamina E),mcg,4,C0113C,
29,Tiamina,mg,9,C0113C,
30,Riboflavina,mg,4,C0113C,
31,Niacina,mg,37,C0113C,
32,Vitamina B6,mg,1,C0113C,
33,Vitamina B12,mg,0,C0113C,
34,Vitamina C,mg,573,C0113C,
35,Equivalente de folato,mcg,727,C0113C,
0,Energia,kJ,296,C0114C,
1,Energia,kcal,70,C0114C,
2,Umidade,g,819,C0114C,
3,Carboidrato total,g,167,C0114C,
4,Carboidrato disponível,g,16,C0114C,
5,Proteína,g,55,C0114C,
6,Lipídios,g,23,C0114C,
7,Fibra alimentar,g,71,C0114C,
8,Álcool,g,0,C0114C,
9,Cinzas,g,36,C0114C,
10,Colesterol,mg,0,C0114C,
11,Ácidos graxos saturados,g,2,C0114C,
12,Ácidos graxos monoinsaturados,g,2,C0114C,
13,Ácidos graxos poliinsaturados,g,7,C0114C,
14,Ácidos graxos trans,g,0,C0114C,
15,Cálcio,mg,947,C0114C,
16,Ferro,mg,33,C0114C,
17,Sódio,mg,145,C0114C,
18,Magnésio,mg,102,C0114C,
19,Fósforo,mg,945,C0114C,
20,Potássio,mg,122,C0114C,
21,Manganês,mcg,7,C0114C,
22,Zinco,mg,12,C0114C,
23,Cobre,mg,8,C0114C,
24,Selênio,mcg,32,C0114C,
25,Vitamina A (RE),mcg,223,C0114C,
26,Vitamina A (RAE),mcg,112,C0114C,
27,Vitamina D,mcg,0,C0114C,
28,Alfa-tocoferol (Vitamina E),mcg,4,C0114C,
29,Tiamina,mg,8,C0114C,
30,Riboflavina,mg,3,C0114C,
31,Niacina,mg,34,C0114C,
32,Vitamina B6,mg,1,C0114C,
33,Vitamina B12,mg,0,C0114C,
34,Vitamina C,mg,53,C0114C,
35,Equivalente de folato,mcg,672,C0114C,
0,Energia,kJ,149,C0115C,
1,Energia,kcal,36,C0115C,
2,Umidade,g,907,C0115C,
3,Carboidrato total,g,817,C0115C,
4,Carboidrato disponível,g,725,C0115C,
5,Proteína,g,63,C0115C,
6,Lipídios,g,22,C0115C,
7,Fibra alimentar,g,93,C0115C,
8,Álcool,g,0,C0115C,
9,Cinzas,g,41,C0115C,
10,Colesterol,mg,0,C0115C,
11,Ácidos graxos saturados,g,3,C0115C,
12,Ácidos graxos monoinsaturados,g,2,C0115C,
13,Ácidos graxos poliinsaturados,g,8,C0115C,
14,Ácidos graxos trans,g,0,C0115C,
15,Cálcio,mg,81,C0115C,
16,Ferro,mg,31,C0115C,
17,Sódio,mg,894,C0115C,
18,Magnésio,mg,842,C0115C,
19,Fósforo,mg,961,C0115C,
20,Potássio,mg,156,C0115C,
21,Manganês,mcg,54,C0115C,
22,Zinco,mg,11,C0115C,
23,Cobre,mg,7,C0115C,
24,Selênio,mcg,33,C0115C,
25,Vitamina A (RE),mcg,234,C0115C,
26,Vitamina A (RAE),mcg,117,C0115C,
27,Vitamina D,mcg,0,C0115C,
28,Alfa-tocoferol (Vitamina E),mcg,6,C0115C,
29,Tiamina,mg,6,C0115C,
30,Riboflavina,mg,3,C0115C,
31,Niacina,mg,41,C0115C,
32,Vitamina B6,mg,2,C0115C,
33,Vitamina B12,mg,0,C0115C,
34,Vitamina C,mg,168,C0115C,
35,Equivalente de folato,mcg,841,C0115C,
0,Energia,kJ,264,C0116C,
1,Energia,kcal,63,C0116C,
2,Umidade,g,839,C0116C,
3,Carboidrato total,g,15,C0116C,
4,Carboidrato disponível,g,141,C0116C,
5,Proteína,g,59,C0116C,
6,Lipídios,g,2,C0116C,
7,Fibra alimentar,g,85,C0116C,
8,Álcool,g,0,C0116C,
9,Cinzas,g,43,C0116C,
10,Colesterol,mg,0,C0116C,
11,Ácidos graxos saturados,g,3,C0116C,
12,Ácidos graxos monoinsaturados,g,2,C0116C,
13,Ácidos graxos poliinsaturados,g,7,C0116C,
14,Ácidos graxos trans,g,0,C0116C,
15,Cálcio,mg,774,C0116C,
16,Ferro,mg,29,C0116C,
17,Sódio,mg,917,C0116C,
18,Magnésio,mg,782,C0116C,
19,Fósforo,mg,888,C0116C,
20,Potássio,mg,144,C0116C,
21,Manganês,mcg,5,C0116C,
22,Zinco,mg,11,C0116C,
23,Cobre,mg,7,C0116C,
24,Selênio,mcg,35,C0116C,
25,Vitamina A (RE),mcg,216,C0116C,
26,Vitamina A (RAE),mcg,108,C0116C,
27,Vitamina D,mcg,0,C0116C,
28,Alfa-tocoferol (Vitamina E),mcg,6,C0116C,
29,Tiamina,mg,6,C0116C,
30,Riboflavina,mg,3,C0116C,
31,Niacina,mg,38,C0116C,
32,Vitamina B6,mg,2,C0116C,
33,Vitamina B12,mg,0,C0116C,
34,Vitamina C,mg,156,C0116C,
35,Equivalente de folato,mcg,777,C0116C,
0,Energia,kJ,116,C0119C,
1,Energia,kcal,28,C0119C,
2,Umidade,g,922,C0119C,
3,Carboidrato total,g,659,C0119C,
4,Carboidrato disponível,g,519,C0119C,
5,Proteína,g,61,C0119C,
6,Lipídios,g,15,C0119C,
7,Fibra alimentar,g,14,C0119C,
8,Álcool,g,0,C0119C,
9,Cinzas,g,44,C0119C,
10,Colesterol,mg,0,C0119C,
11,Ácidos graxos saturados,g,2,C0119C,
12,Ácidos graxos monoinsaturados,g,2,C0119C,
13,Ácidos graxos poliinsaturados,g,6,C0119C,
14,Ácidos graxos trans,g,0,C0119C,
